Algoritmo,n,Comparações (Aleatório),Comparações (Ordenado),Comparações (Reverso),Trocas (Aleatório),Trocas (Ordenado),Trocas (Reverso),Tempo (Aleatório),Tempo (Ordenado),Tempo (Reverso)
Merge Sort,490,3764,2237,2151,3720,0,4388,0.07,0.05,0.05
Merge Sort,500,3865,2272,2216,3892,0,4488,0.07,0.04,0.05
Merge Sort,510,3941,2301,2287,4009,0,4588,0.07,0.05,0.05
Merge Sort,520,4046,2372,2324,4004,0,4696,0.08,0.05,0.05
Merge Sort,530,4134,2449,2357,4161,0,4806,0.06,0.04,0.04
Merge Sort,540,4217,2520,2396,4247,0,4916,0.06,0.04,0.04
Merge Sort,550,4354,2591,2435,4307,0,5026,0.07,0.04,0.04
Merge Sort,560,4401,2656,2480,4363,0,5136,0.06,0.04,0.04
Merge Sort,570,4489,2721,2525,4504,0,5246,0.06,0.04,0.04
Merge Sort,580,4605,2784,2572,4617,0,5356,0.07,0.04,0.04
Merge Sort,590,4660,2853,2613,4692,0,5466,0.07,0.04,0.05
Merge Sort,600,4811,2916,2660,4778,0,5576,0.07,0.04,0.05
Merge Sort,610,4887,2975,2711,4868,0,5686,0.07,0.05,0.05
Merge Sort,620,4974,3036,2760,4978,0,5796,0.09,0.06,0.06
Merge Sort,630,5077,3091,2815,5116,0,5906,0.09,0.06,0.06
Merge Sort,640,5172,3136,2880,5130,0,6016,0.08,0.05,0.05
Merge Sort,650,5277,3211,2915,5278,0,6126,0.21,0.12,0.14
Merge Sort,660,5380,3276,2960,5336,0,6236,0.08,0.05,0.05
Merge Sort,670,5445,3335,3011,5445,0,6346,0.08,0.05,0.05
Merge Sort,680,5557,3396,3060,5533,0,6456,0.08,0.05,0.05
Merge Sort,690,5654,3453,3113,5646,0,6566,0.09,0.05,0.05
Merge Sort,700,5747,3504,3172,5787,0,6676,0.14,0.11,0.11
Merge Sort,710,5848,3561,3225,5824,0,6786,0.12,0.18,0.08
Merge Sort,720,5939,3616,3280,5952,0,6896,0.11,0.08,0.07
Merge Sort,730,6031,3671,3335,6085,0,7006,0.11,0.07,0.07
Merge Sort,740,6137,3720,3396,6066,0,7116,0.11,0.07,0.07
Merge Sort,750,6274,3769,3457,6238,0,7226,0.09,0.06,0.06
Merge Sort,760,6302,3812,3524,6365,0,7336,0.09,0.06,0.06
Merge Sort,770,6444,3857,3589,6486,0,7446,0.09,0.06,0.06
Merge Sort,780,6549,3928,3628,6561,0,7556,0.09,0.06,0.06
Merge Sort,790,6630,3993,3673,6665,0,7666,0.09,0.06,0.06
Merge Sort,800,6742,4048,3728,6693,0,7776,0.12,0.06,0.06
Merge Sort,810,6822,4113,3773,6857,0,7886,0.12,0.08,0.08
Merge Sort,820,6931,4168,3828,6942,0,7996,0.11,0.07,0.07
Merge Sort,830,7043,4217,3889,7076,0,8106,0.10,0.06,0.06
Merge Sort,840,7128,4276,3940,7195,0,8216,0.13,0.08,0.08
Merge Sort,850,7206,4333,3993,7204,0,8326,0.21,0.13,0.16
Merge Sort,860,7318,4384,4052,7381,0,8436,0.11,0.07,0.07
Merge Sort,870,7436,4435,4111,7442,0,8546,0.13,0.08,0.09
Merge Sort,880,7512,4480,4176,7523,0,8656,0.13,0.09,0.09
Merge Sort,890,7596,4525,4241,7589,0,8766,0.10,0.07,0.07
Merge Sort,900,7735,4572,4304,7743,0,8876,0.10,0.07,0.07
Merge Sort,910,7794,4631,4355,7816,0,8986,0.15,0.12,0.12
Merge Sort,920,7920,4684,4412,7904,0,9096,0.11,0.07,0.07
Merge Sort,930,8005,4733,4473,8006,0,9206,0.14,0.09,0.09
Merge Sort,940,8124,4784,4532,8096,0,9316,0.16,0.10,0.11
Merge Sort,950,8209,4829,4597,8248,0,9426,0.28,0.16,0.14
Merge Sort,960,8305,4864,4672,8320,0,9536,0.12,0.08,0.09
Merge Sort,970,8417,4919,4727,8397,0,9646,0.12,0.08,0.08
Merge Sort,980,8512,4964,4792,8517,0,9756,0.31,0.43,0.21
Merge Sort,990,8602,5003,4863,8582,0,9866,0.15,0.09,0.10
Merge Sort,1000,8705,5044,4932,8705,0,9976,0.13,0.08,0.08
