Algoritmo,Tamanho,Comparações (Aleatório),Comparações (Ordenado),Comparações (Reverso),Trocas (Aleatório),Trocas (Ordenado),Trocas (Reverso),Tempo (Aleatório),Tempo (Ordenado),Tempo (Reverso)
Merge Sort,120,685,428,404,692,0,832,0.02,0.02,0.03
Merge Sort,130,750,463,451,752,0,914,0.02,0.02,0.02
Merge Sort,140,829,524,480,848,0,1004,0.02,0.02,0.02
Merge Sort,150,899,579,515,884,0,1094,0.03,0.03,0.03
Merge Sort,160,955,624,560,1019,0,1184,0.03,0.02,0.02
Merge Sort,170,1052,679,595,1061,0,1274,0.03,0.02,0.02
Merge Sort,180,1119,724,640,1160,0,1364,0.03,0.02,0.02
Merge Sort,190,1199,763,691,1218,0,1454,0.03,0.02,0.02
Merge Sort,200,1289,812,732,1331,0,1544,0.03,0.02,0.02
Merge Sort,210,1359,859,775,1360,0,1634,0.03,0.02,0.02
Merge Sort,220,1442,900,824,1431,0,1724,0.03,0.02,0.02
Merge Sort,230,1523,941,873,1508,0,1814,0.03,0.03,0.02
Merge Sort,240,1599,976,928,1602,0,1904,0.04,0.02,0.03
Merge Sort,250,1687,1011,983,1694,0,1994,0.04,0.02,0.03
Merge Sort,260,1773,1056,1032,1779,0,2088,0.04,0.03,0.03
Merge Sort,270,1854,1125,1063,1847,0,2188,0.04,0.03,0.03
Merge Sort,280,1925,1188,1100,1911,0,2288,0.04,0.03,0.03
Merge Sort,290,2013,1247,1141,2024,0,2388,0.04,0.03,0.03
Merge Sort,300,2094,1308,1180,2089,0,2488,0.05,0.03,0.03
Merge Sort,310,2197,1363,1225,2187,0,2588,0.05,0.03,0.03
Merge Sort,320,2260,1408,1280,2226,0,2688,0.05,0.03,0.04
Merge Sort,330,2367,1473,1315,2321,0,2788,0.05,0.03,0.04
Merge Sort,340,2454,1528,1360,2455,0,2888,0.05,0.03,0.04
Merge Sort,350,2537,1577,1411,2548,0,2988,0.05,0.04,0.04
Merge Sort,360,2613,1628,1460,2616,0,3088,0.06,0.04,0.04
Merge Sort,370,2702,1675,1513,2669,0,3188,0.06,0.04,0.04
Merge Sort,380,2771,1716,1572,2782,0,3288,0.06,0.04,0.04
Merge Sort,390,2873,1769,1619,2837,0,3388,0.06,0.04,0.04
Merge Sort,400,2969,1824,1664,2964,0,3488,0.06,0.04,0.04
Merge Sort,410,3045,1879,1709,3008,0,3588,0.06,0.04,0.05
Merge Sort,420,3157,1928,1760,3106,0,3688,0.07,0.04,0.05
Merge Sort,430,3232,1977,1811,3240,0,3788,0.07,0.04,0.05
Merge Sort,440,3332,2020,1868,3298,0,3888,0.07,0.05,0.05
Merge Sort,450,3418,2061,1927,3417,0,3988,0.07,0.05,0.05
Merge Sort,460,3497,2112,1976,3458,0,4088,0.07,0.05,0.05
Merge Sort,470,3598,2157,2031,3558,0,4188,0.08,0.05,0.05
Merge Sort,480,3699,2192,2096,3684,0,4288,0.08,0.05,0.06
Merge Sort,490,3780,2237,2151,3768,0,4388,0.08,0.05,0.06
Merge Sort,500,3856,2272,2216,3831,0,4488,1.07,0.05,0.07
Merge Sort,510,3961,2301,2287,3933,0,4588,0.08,0.06,0.06
Merge Sort,520,4027,2372,2324,4060,0,4696,0.09,0.05,0.06
Merge Sort,530,4127,2449,2357,4045,0,4806,0.09,0.06,0.06
Merge Sort,540,4243,2520,2396,4250,0,4916,0.09,0.06,0.06
Merge Sort,550,4337,2591,2435,4354,0,5026,0.09,0.06,0.06
Merge Sort,560,4413,2656,2480,4397,0,5136,0.09,0.06,0.07
Merge Sort,570,4513,2721,2525,4498,0,5246,0.09,0.06,0.07
Merge Sort,580,4621,2784,2572,4585,0,5356,0.10,0.06,0.07
Merge Sort,590,4686,2853,2613,4769,0,5466,0.10,0.07,0.07
Merge Sort,600,4789,2916,2660,4779,0,5576,0.10,0.06,0.07
Merge Sort,610,4883,2975,2711,4896,0,5686,0.15,0.08,0.07
Merge Sort,620,5003,3036,2760,5015,0,5796,0.10,0.07,0.07
Merge Sort,630,5081,3091,2815,5081,0,5906,0.10,0.07,0.07
Merge Sort,640,5195,3136,2880,5153,0,6016,0.11,0.07,0.08
Merge Sort,650,5261,3211,2915,5261,0,6126,0.11,0.07,0.08
Merge Sort,660,5360,3276,2960,5309,0,6236,0.11,0.07,0.08
Merge Sort,670,5447,3335,3011,5491,0,6346,0.11,0.07,0.08
Merge Sort,680,5571,3396,3060,5589,0,6456,0.12,0.08,0.08
Merge Sort,690,5677,3453,3113,5683,0,6566,0.11,0.08,0.08
Merge Sort,700,5725,3504,3172,5783,0,6676,0.12,0.08,0.09
Merge Sort,710,5854,3561,3225,5863,0,6786,0.12,0.08,0.09
Merge Sort,720,5922,3616,3280,5923,0,6896,0.12,0.08,0.09
Merge Sort,730,6050,3671,3335,6004,0,7006,0.12,0.09,0.09
Merge Sort,740,6172,3720,3396,6123,0,7116,0.14,0.10,0.11
Merge Sort,750,6227,3769,3457,6224,0,7226,0.13,0.08,0.09
Merge Sort,760,6288,3812,3524,6265,0,7336,0.13,0.08,0.09
Merge Sort,770,6438,3857,3589,6430,0,7446,0.13,0.09,0.10
Merge Sort,780,6529,3928,3628,6512,0,7556,0.13,0.09,0.09
Merge Sort,790,6605,3993,3673,6613,0,7666,0.14,0.09,0.10
Merge Sort,800,6701,4048,3728,6795,0,7776,0.13,0.09,0.10
Merge Sort,810,6858,4113,3773,6698,0,7886,0.14,0.09,0.10
Merge Sort,820,6923,4168,3828,6936,0,7996,0.14,0.09,0.10
Merge Sort,830,7020,4217,3889,7009,0,8106,0.14,0.09,0.10
Merge Sort,840,7114,4276,3940,7138,0,8216,0.15,0.09,0.10
Merge Sort,850,7223,4333,3993,7199,0,8326,0.15,0.09,0.10
Merge Sort,860,7316,4384,4052,7347,0,8436,0.15,0.10,0.10
Merge Sort,870,7419,4435,4111,7406,0,8546,0.15,0.10,0.11
Merge Sort,880,7521,4480,4176,7430,0,8656,0.15,0.10,0.11
Merge Sort,890,7617,4525,4241,7576,0,8766,0.15,0.10,0.11
Merge Sort,900,7726,4572,4304,7699,0,8876,0.15,0.10,0.11
Merge Sort,910,7789,4631,4355,7804,0,8986,0.16,0.10,0.11
Merge Sort,920,7902,4684,4412,7917,0,9096,0.28,0.15,0.17
Merge Sort,930,8040,4733,4473,8010,0,9206,0.16,0.10,0.12
Merge Sort,940,8102,4784,4532,8047,0,9316,0.16,0.11,0.12
Merge Sort,950,8212,4829,4597,8204,0,9426,0.16,0.11,0.12
Merge Sort,960,8323,4864,4672,8306,0,9536,0.17,0.11,0.12
Merge Sort,970,8438,4919,4727,8397,0,9646,0.17,0.11,0.44
Merge Sort,980,8511,4964,4792,8542,0,9756,0.17,0.11,0.12
Merge Sort,990,8606,5003,4863,8626,0,9866,0.23,0.11,0.13
Merge Sort,1000,8749,5044,4932,8755,0,9976,0.17,0.11,0.12
